Title,STATUS,Coupa Req,PO ID,Cost Total,Coupa Status,Submitted by,GCU Contact,Date Submitted,Business Need,Approval,Licensing Requirements,Licensing Requirements Explain,URL Product,Notes,Product Logo,Primary Approver,Point of Contact,Name of Primary Contact,SME,M365 Replace,Description,Primary IT Contact,Support Department Manager,Who uses this application?,App Status,Purpose,Origin,AppOwnerOrganization,App USE Org,App Owner Department,Name of Software Company,Departments Use the App,Cost Requirements,Cost Requirements Explain,Security Approval,Date of Security Review,URL to Governance System,Business Engagement QA,Business Engagement Notes,Business Engagement Approval,Who Uses,Dept Use-Which Dept,Software Version Initial,Software Version - Today,Support Department,Primary Business Administrator,Date of Launch,Date of Renewal,Department Renewal,Support Details,3rd Party Patching Requirements,3rd Party Vendor Website,Renewal Date,Item Type,Path
SAL-NET,Sam Done,,,,,,,8/6/19,"Required to process Perkins loans 
",Restricted Approval,No,,https://www.ecsi.net/salnet/salnet-setup6.1.exe,"671658 - Financial Aid Need MGR Approval - Office of Financial aid to process loans
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SALSA LipSync,Sam Done,193521,#187151,39,Ordered,Roger Morgan (Orbis),,1/5/21,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""SALSA LipSync.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962",,,,,,Roger Morgan,,,,Existing,Plugin for Unity LipSyncing,Open Use,Orbis,Orbis,,Unity,,Unknown,,Yes,,,,,,,,,,,,1/5/21,1/5/21,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SBL Hebrew Keyboard Driver,Sam Done,,,,,,,2/8/16,Allows for the use of Hebrew on standard keyboards.,Approved,Unknown,,,Request 447404,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,2/8/16,2/8/16,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
ScanSnap - PFU Printer,Sam Done,,,,,,,8/6/19,"Also called PFU Printer, Common Scanner with special installs, New ADR/UDR's receive Brother Scanners now, however there are still several people who have the scansnap.",Approved,No,,,- UDR Scanning software for older scanners distributed to UDR's,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Scantron,Sam Done,186908,#179349,3057.9,Ordered,Ryan Masterson,,6/16/20,,Approved,Unknown,,,,,,,,,,Ryan Masterson,,,,Existing,E-Learning Services,Open Use,GCU,GCU,,Scantron Corporation,,Unknown,,Yes,,,,,,,,,,,,6/16/20,6/16/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
ScheduleView,Sam Done,,,,,,,3/2/20,CampusVue is integrated into CRM where counselors can schedule student’s classes.,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""ScheduleView.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-",,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Screaming Frog,Sam Done,,,,,,,8/3/20,"A crawler software that we use for analyzing any technical issues with the website in order to ensure that it is running at peak performance for our students. 
",Approved,No,,,"Manager Approval - marketing team
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Screen Reader,Sam Done,190613,#184135,1200,Ordered,Andrea Rodriguez (GCE),,10/15/20,,Approved,Unknown,,,,,,,,,,Andrea Rodriguez,,,,Existing,Screen reader,IT Use,GCE,GCE,,JAWS,,Unknown,,Yes,,,,,,,,,,,,10/15/20,10/15/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Screencast-O-Matic,Sam Done,,,,,,,8/6/19,"Per IT Security this software is no longer allowed.  ""this is the request we cannot comply with as the URL needed for the video codec is a known malware/virus. The codec was made for version 33 of Firefox (a browser that is no on version 84). It is antiquated and unsafe for use.""
",Denied,Yes,,,"Per IT Security this software is no longer allowed. ""this is the request we cannot comply with as the URL needed for the video codec is a known malware/virus. The codec was made for version 33 of Firefox (a browser that is no on version 84). It is antiquated and unsafe for use."" 
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
ScreenCloud,Sam Done,,,,,,,5/11/22,"Calendar Display. Azure Admin Consent.
",Approved,No,,https://screencloud.com/,"ScreenCloud can be used as a calendar display. Approved for Azure Admin Consent. Request 188825.
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
ScreenSteps Desktop,Sam Done,,,,,,,8/6/19,Employee training system,Approved,Unknown,Cost Associated,http://www.screensteps.com/pricing,329216 - College of Doctoral Studies,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SensorUtility,Sam Done,,,,,,,8/6/19,"Library software. Used for the gate counter hardware on the library floor of the student union.
",Restricted Approval,No,,http://www.sensourceinc.com/software/TB12/ & http://kb.sensourceinc.com/kb/entry/99/ ,"623324 - Library 
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SEO Monitor,Sam Done,196711,#187429,3679.4,Ordered,,Sandy Dantzer,1/9/21,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""SEO Monitor.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c",,,,,,Sandy Dantzer,,,,Existing,SEO Monitoring and Management,IT Use,GCE,GCE,,SEMrush,,Unknown,,Yes,,,,,,,,,,,,1/9/21,1/9/21,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Separation Studio,Sam Done,,,,,,,8/6/19,Used to separate colors in art for screen printing.,Approved,Yes,,https://softwareforscreenprinters.com/products/separation-studio/,642740 - Print Shop,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/6/19,8/6/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Sequel Server Management Studio,Sam Done,,,,,,,2/4/19,SQL Server,Approved,Unknown,,,Request 910736,"{""type"":""thumbnail"",""fileName"":""Sequel Server Management Studio.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAss",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,2/4/19,2/4/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Serenity BDD,Sam Done,,,,,,,10/24/21,"This software is used for automated testing of marketing websites. 
",Approved,Unknown,,,"99351
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Server Hosting,Sam Done,173759,#181294,3001.65,Ordered,Daniel Addington (GCE),,8/6/20,,Approved,Unknown,,,,,,,,,,Daniel Addington,,,,Existing,IT Security,Open Use,GCE,GCE,,Rackspace LTD,,Unknown,,Yes,,,,,,,,,,,,8/6/20,8/6/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Service Desk,Sam Done,,,,,,,12/14/20,,Approved,Unknown,,,,,,,,,,Samule Jaloma,,,,Existing,Ticketing Services,IT Use,GCE,GCE,,A&I Solutions Inc,,Unknown,,Yes,,,,,,,,,,,,12/14/20,12/14/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Service Desk,Sam Done,,,,,,,3/3/20,Ticketing Services,Approved,Unknown,,,,,,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Service Request System,Sam Done,,,,,,,3/9/20,Service Request System is Tech Supports version of Service Desk.,Approved,Unknown,,,,,,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Services Plan - X-SMALL,Sam Done,192972,#184178,1000,Ordered,Vanessa Sanchez (GCE),,10/15/20,,Approved,Unknown,,,,,,,,,,Vanessa Sanchez,,,,Existing,Internet Registry,IT Use,GCE,GCE,,American Registry for Internet,,Unknown,,Yes,,,,,,,,,,,,10/15/20,10/15/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
ShareBrowser,Sam Done,,,,,,,10/31/19,"Sharing video, sharebrowser is an application that allows us to mount volumes that exist on our SAN editing system and search for footage based on metadata. The SAN is an air-gapped 10Gb network exclusively for video editing. It is free to EVO hardware customers.",Approved,Unknown,,,,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,10/31/19,10/31/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Sharebrowser,Sam Done,,,,,,,10/31/19,"Sharing video
",Approved,No,,,"Marketing uses this application
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Sharegate,Sam Done,170973,#176474,6995,Ordered,Bill Christie (GCE),,3/6/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Sharegate.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c93",,,,,,Bill Christie,,,,Existing,Infrastructure,Open Use,GCE,GCE,,Sharegate Inc,,Unknown,,Yes,,,,,,,,,,,,3/6/20,3/6/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Sharepoint,Sam Done,,,,,,,3/4/20,A web application platform in the Microsoft Office server suite where our teamsite is located.,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Sharepoint.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c9",,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Shopify,Sam Done,,,,,,,5/3/22,"Online sales platform
",Approved,Unknown,,,"RQ183164
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Shure Update Utility,Sam Done,,,,,,,3/13/18,"Software used to update audio networking software/firmware on products made by Shure. It is installed on Mac computers 
",Pending Approval,Unknown,,http://www.shure.com/americas/products/software/utilities/shure-update-utility,"Request 760798
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SIDEARM,Sam Done,193476,#184481,4725,Ordered,,Mark Wilty,10/26/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""SIDEARM.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-",,,,,,Mark Wilty,,,,Existing,Sports Management,Open Use,GCU,GCU,,SIDEARM Sports,,Unknown,,Yes,,,,,,,,,,,,10/26/20,10/26/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Sierra Desktop,Sam Done,,,,,,,8/28/20,"Description    This software is used for accessing ILS systems, which allows the library team to manage the library's catalog on the back end.",Approved,Unknown,,,Request 1184224,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,8/28/20,8/28/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Silhouette Studio,Sam Done,,,,,,,4/20/20,To design a variety of items for the department when hosting events and contests.,Approved,Unknown,,,Request 1106648: As long as this is not being used for information sharing and just for digital artwork it's approved.,"{""type"":""thumbnail"",""fileName"":""Silhouette Studio.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,4/20/20,4/20/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Silverlight,Sam Done,,,,,,,11/4/14,Needed to to create modify Dashboards on FM Systems,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Silverlight.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,11/4/14,11/4/14,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SimViewer,Imported,,,,,David Richards (GCE),,12/28/22,Used by Orbis ASBN to connect to SimView Servers and Laerdal simulators.,Approved,Unknown,,,,,,Calvin Wanjare (GCE);#99,,,,To connect to the SimViewer servers and Laerdal simulators.,,,,Existing,Used in ASBN program simulators.,,Orbis,GCE;#Orbis;#GCU,,,,Unknown,,,,,,,,,,,,,,12/28/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Sisense Server,Sam Done,196447,#187674,26250,Ordered,Gina Smith (Orbis),,1/13/21,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Sisense Server.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,Gina Smith,,,,Existing,Instructional Services,Open Use,Orbis,Orbis,,Sisense Inc,,Unknown,,Yes,,,,,,,,,,,,1/13/21,1/13/21,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Siteimprove,Sam Done,,,,,,,9/23/20,,Approved,Unknown,,,153319,"{""type"":""thumbnail"",""fileName"":""Siteimprove.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c",,,,,,Michael Wallace,,,,Existing,Marketing,Open Use,GCE,GCE,,Siteimprove Inc,,Unknown,,Yes,,,,,,,,,,,,9/23/20,9/23/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Sketch Team Subscription,Sam Done,178604,#178598,297,Ordered,Chris Neikirk (GCE),,1/31/20,,Approved,Unknown,,,,,,,,,,Chris Neikirk,,,,Existing,Educational Services,Open Use,GCE,GCE,,3.0 Sketch,,Unknown,,Yes,,,,,,,,,,,,1/31/20,1/31/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Sketch Team Subscription,Sam Done,,,,,,,1/13/20,,Approved,Unknown,,,,,,,,,,sandy dantzer,,,,Existing,Educational Services,Open Use,Orbis,Orbis,,1.0 Sketch,,Unknown,,Yes,,,,,,,,,,,,1/13/20,1/13/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SketchUp,Sam Done,,,,,,,9/25/18,Editing Tool,Approved,No,,,857590,,,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,9/25/18,9/25/18,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Skype for Business,Sam Done,,,,,,,3/5/20,"llows employees to instant message people within their organization, also a Screen-Sharing Resource.",Approved,No,,,"506602, 505755 - Video Conferencing, interviews, etc. Mgr-IT Sec - Noc - HD installs from web or EP drive","{""type"":""thumbnail"",""fileName"":""Skype for Business.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/290",,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SkyTouch Services,Sam Done,174971,#169370,21600,Ordered,,katya hofmann,10/28/19,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""SkyTouch Services.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909",,,,,,katya hofmann,,,,Existing,Hospitality Services,Open Use,GCU,GCU,,Choice Hotels International Inc,,Unknown,,Yes,,,,,,,,,,,,10/28/19,10/28/19,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Slack,Sam Done,,,,,,,5/26/21,"This application is required for High School STEM Internship labs and software development.
",Approved,No,,,"Request %233170
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Slido for PowerPoint,Sam Done,,,,,,,2/28/22,"This software is used to insert live polls, quizzes, or Q&A directly into your PowerPoint presentation with our free Slido integration. This integration will allow me to add poll questions automatically into the PowerPoint presentation as a new slide. Once I start presenting, the polls will activate automatically and the results can be seen on the screen.
",Approved,Unknown,,,"152623
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SMART Notebook,Sam Done,,,,,,,3/31/16,collaborative learning software,Approved,Unknown,,,Request 464347,"{""type"":""thumbnail"",""fileName"":""SMART Notebook.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e96",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,3/31/16,3/31/16,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Smartsheet,Sam Done,,,,,,,10/15/20,,Approved,Unknown,Cost Associated,,,"{""type"":""thumbnail"",""fileName"":""Smartsheets.png"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c",,,,,,Mark Gbur,,,,Existing,Data Tracking/Management,IT Use,Orbis,Orbis,,Smartsheet.com Inc,,Unknown,,Yes,,,,,,,,,,,,10/15/20,10/15/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SmartyStreets,Sam Done,,,,,,,12/23/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""SmartyStreets.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962",,,,,,Greg Leake,,,,Existing,SmartyStreets Address Lookup,IT Use,GCE,GCE,,SmartyStreets LLC,,Unknown,,Yes,,,,,,,,,,,,12/23/20,12/23/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Snag It,Sam Done,,,,,,,3/6/20,Snipping tool,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Snag It.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-",,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Snag It,Imported,136603,#143291,24.97,Ordered,,,8/6/19,"Snagit is a screenshot program that captures video display and audio output.
",Restricted Approval,Yes,,https://www.techsmith.com/download/licenses/snagit/,"508343 -  License - Ned MGR Approval 
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SnagIt,Sam Done,,,,,,,12/14/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Snag It.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933-",,,,,,Kim Tsutsumida,,,,Existing,Screen Capture Software,IT Use,GCE,GCE,,Software One Inc,,Unknown,,Yes,,,,,,,,,,,,12/14/20,12/14/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Snap Survey,Sam Done,185105,#180189,3750,Ordered,,Judith Eroe,7/10/20,,Approved,Unknown,,,,,,,,,,Judith Eroe,,,,Existing,Surveys,Open Use,GCU,GCU,,Snap Surveys NH Inc,,Unknown,,Yes,,,,,,,,,,,,7/10/20,7/10/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SnapEngage Enterprise Agents,Sam Done,,,,,,,12/4/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Snapgene.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933",,,,,,Andrea Rodriguez,,,,Existing,Lead Conversion / Customer Chat Software,IT Use,GCE,GCE,,SnapEngage LLC,,Unknown,,Yes,,,,,,,,,,,,12/4/20,12/4/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Snapgene,Sam Done,,,,,,,5/29/20,Used in BIO-475 Lab class,Approved,Unknown,,,Request 1126628,"{""type"":""thumbnail"",""fileName"":""Snapgene.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962-c933",,,,,,,,,,Existing,,Open Use,GCE,,,,,Unknown,,,,,,,,,,,,,,5/29/20,5/29/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Snipping tool,Sam Done,,,,,,,3/7/20,Built into Windows,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Snipping Tool.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962",,,,,,,,,,Existing,,IT Use,GCE,,,,,Unknown,,Yes,,,,,,,,,,,,1/1/20,1/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
snsdiag-macos-20190212-175209,Sam Done,,,,,,,1/5/22,"This software is used for troubleshooting external drives.
",Approved,Unknown,,,"121955
",,,,,,,,,,,Existing,,,GCE,,,,,Unknown,,,,,,,,,,,,,,11/30/22,,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Soccer Heart Rate Montors,Sam Done,,,,,,,3/17/20,,Approved,Unknown,,,,,,,,,,Mark Wilty,,,,Existing,Athletics Management,Open Use,GCU,GCU,,Catapult Sports LLC,,Unknown,,Yes,,,,,,,,,,,,3/17/20,3/17/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Social Monitoring,Sam Done,,,,,,,1/9/21,,Approved,Unknown,,,,,,,,,,Sandy Dantzer,,,,Existing,Social Monitoring and Management Tool,IT Use,GCE,GCE,,Sendible,,Unknown,,Yes,,,,,,,,,,,,1/9/21,1/9/21,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Social Tables,Sam Done,189933,#182084,2231,Ordered,,Tira Montgomery,8/20/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Social Tables.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962",,,,,,Tira Montgomery,,,,Existing,Event Services,Open Use,GCU,GCU,,Cvent,,Unknown,,Yes,,,,,,,,,,,,8/20/20,8/20/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
Social Tables,Sam Done,,,,,,,5/28/20,,Approved,Unknown,,,,"{""type"":""thumbnail"",""fileName"":""Social Tables.jpg"",""nativeFile"":{},""fieldName"":""ProductLogo"",""serverUrl"":""https://gce2.sharepoint.com"",""fieldId"":""d472c8c2-2e40-4eeb-9e9f-33100c1c865f"",""serverRelativeUrl"":""/sites/SoftwareInventory/SiteAssets/Lists/2909e962",,,,,,KC Shuck,,,,Existing,Hospitality Services,Open Use,GCU,GCU,,SocialVenu Inc,,Unknown,,Yes,,,,,,,,,,,,5/28/20,5/28/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
SocialVenu,Sam Done,186531,#179921,2500,Ordered,KC Shuck (GCE),,7/1/20,,Approved,Unknown,,,,,,,,,,KC Shuck,,,,Existing,Campus Services,Open Use,GCU,GCU,,SocialVenu Inc,,Unknown,,Yes,,,,,,,,,,,,7/1/20,7/1/20,,,,,,Item,sites/SoftwareInventory/Lists/SoftwareInventory
